Имя;Цена
JSWSTEEL;970.00
HINDALCO;692.10
TATASTEEL;151.00
POWERGRID;338.15
NTPC;428.05
WIPRO;537.90
TECHM;1,608.00
ADANIPORTS;1,418.95
ITC;512.00
HEROMOTOCO;6,048.75
HCLTECH;1,748.00
COALINDIA;480.95
SBIN;794.85
BPCL;326.45
ONGC;287.00
BAJFINANCE;7,635.00
INFY;1,905.00
BRITANNIA;6,165.35
CIPLA;1,645.90
DIVISLAB;5,456.30
DRREDDY;6,534.80
SBILIFE;1,850.00
TCS;4,316.90
BAJAJ-AUTO;11,925.00
HDFCBANK;1,716.50
HINDUNILVR;2,924.80
LT;3,700.00
TATACONSUM;1,220.00
SHRIRAMFIN;3,539.00
NESTLEIND;2,644.00
BHARTIARTL;1,671.00
TITAN;3,793.00
ASIANPAINT;3,304.00
RELIANCE;2,948.00
ULTRACEMCO;11,660.00
SUNPHARMA;1,851.10
ICICIBANK;1,295.00
GRASIM;2,745.00
INDUSINDBK;1,488.00
ADANIENT;2,948.15
APOLLOHOSP;7,039.90
KOTAKBANK;1,874.00
AXISBANK;1,244.00
BAJAJFINSV;1,892.10
MARUTI;12,360.40
HDFCLIFE;702.00
M&M;2,798.70
EICHERMOT;4,866.80
TATAMOTORS;967.00
LTIM;6,336.35
